Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,National,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2003,223.0,233.0,229.0,229.0,227.0,235.0,241.0,236.0,234.0,230.0,227.0,235.0,233.0,238.0,238.0,242.0,229.0,226.0,238.0,233.0,242.0,236.0,242.0,223.0,235.0,236.0,235.0,236.0,228.0,243.0,239.0,223.0,236.0,242.0,238.0,238.0,229.0,236.0,236.0,230.0,236.0,237.0,228.0,237.0,235.0,242.0,239.0,238.0,231.0,237.0,241.0
2005,225.0,236.0,230.0,236.0,230.0,239.0,242.0,240.0,239.0,234.0,230.0,242.0,233.0,240.0,240.0,246.0,231.0,230.0,241.0,238.0,247.0,238.0,246.0,227.0,235.0,241.0,238.0,238.0,230.0,246.0,244.0,224.0,238.0,241.0,243.0,242.0,234.0,238.0,241.0,233.0,238.0,242.0,232.0,242.0,239.0,244.0,240.0,242.0,231.0,241.0,243.0
2007,229.0,237.0,232.0,238.0,230.0,240.0,243.0,242.0,242.0,235.0,234.0,241.0,237.0,245.0,243.0,248.0,235.0,230.0,242.0,240.0,252.0,238.0,247.0,228.0,239.0,244.0,240.0,238.0,232.0,249.0,249.0,228.0,243.0,242.0,245.0,245.0,237.0,236.0,244.0,236.0,237.0,241.0,233.0,242.0,239.0,246.0,244.0,243.0,236.0,244.0,244.0
2009,228.0,237.0,230.0,238.0,232.0,243.0,245.0,239.0,242.0,236.0,236.0,241.0,238.0,243.0,243.0,245.0,239.0,229.0,244.0,244.0,252.0,236.0,249.0,227.0,241.0,244.0,240.0,239.0,235.0,251.0,247.0,230.0,241.0,244.0,245.0,244.0,237.0,238.0,244.0,239.0,236.0,242.0,232.0,240.0,240.0,248.0,243.0,242.0,233.0,244.0,242.0
2011,231.0,236.0,235.0,238.0,234.0,244.0,242.0,240.0,240.0,238.0,239.0,240.0,239.0,244.0,243.0,246.0,241.0,231.0,244.0,247.0,253.0,236.0,249.0,230.0,240.0,244.0,241.0,240.0,237.0,252.0,248.0,233.0,238.0,245.0,245.0,244.0,237.0,237.0,246.0,242.0,237.0,241.0,233.0,241.0,243.0,247.0,245.0,243.0,235.0,245.0,244.0
2013,233.0,236.0,240.0,240.0,234.0,247.0,243.0,243.0,242.0,240.0,243.0,241.0,239.0,249.0,246.0,246.0,241.0,231.0,246.0,245.0,253.0,237.0,253.0,231.0,240.0,244.0,242.0,243.0,236.0,253.0,247.0,233.0,240.0,245.0,246.0,246.0,239.0,240.0,244.0,241.0,237.0,241.0,240.0,242.0,243.0,248.0,246.0,246.0,237.0,245.0,247.0
2015,231.0,236.0,238.0,235.0,232.0,242.0,240.0,239.0,243.0,236.0,238.0,239.0,237.0,248.0,243.0,241.0,242.0,234.0,242.0,239.0,251.0,236.0,250.0,234.0,239.0,241.0,240.0,244.0,234.0,249.0,245.0,231.0,237.0,244.0,245.0,244.0,240.0,238.0,243.0,238.0,237.0,240.0,241.0,244.0,243.0,243.0,247.0,245.0,235.0,243.0,247.0
2017,232.0,230.0,234.0,234.0,232.0,241.0,239.0,236.0,246.0,236.0,238.0,240.0,238.0,247.0,243.0,241.0,239.0,229.0,240.0,241.0,249.0,236.0,249.0,235.0,240.0,241.0,240.0,246.0,232.0,245.0,248.0,230.0,236.0,241.0,244.0,241.0,237.0,233.0,242.0,238.0,234.0,242.0,237.0,241.0,242.0,241.0,248.0,242.0,236.0,240.0,248.0
2019,230.0,232.0,238.0,233.0,235.0,242.0,243.0,239.0,246.0,238.0,239.0,242.0,237.0,245.0,241.0,239.0,239.0,231.0,241.0,239.0,247.0,236.0,248.0,241.0,238.0,241.0,241.0,244.0,236.0,245.0,246.0,231.0,237.0,241.0,243.0,241.0,237.0,236.0,244.0,239.0,237.0,241.0,240.0,244.0,244.0,239.0,247.0,240.0,231.0,242.0,246.0
2022,230.0,226.0,232.0,228.0,230.0,236.0,236.0,226.0,241.0,235.0,237.0,236.0,237.0,239.0,240.0,235.0,234.0,229.0,233.0,229.0,242.0,232.0,239.0,234.0,232.0,239.0,236.0,242.0,229.0,239.0,239.0,221.0,227.0,236.0,240.0,238.0,229.0,228.0,238.0,234.0,234.0,239.0,236.0,239.0,240.0,234.0,236.0,235.0,226.0,240.0,243.0
